,branching_ratio,category,condition,prep_id
0,0.9503233327559187,O = organoid,Intact,O2
1,0.9113055806117973,O = organoid,Intact,O3
2,0.9230178352054248,O = organoid,Intact,O2
3,0.9916921651783303,O = organoid,Intact,O5
4,0.9910332071232848,O = organoid,Intact,O5
5,0.9992993499802416,O = organoid,Intact,O8
6,0.6446033174801912,O = organoid,Intact,O8
7,0.9416496320173419,O = organoid,Intact,O2
8,0.9940218094279321,O = organoid,Intact,O8
9,0.9925490269387587,O = organoid,Intact,O5
10,0.8843379503039132,O = organoid,Intact,O4
11,0.9920201959701231,O = organoid,Intact,O5
12,0.9701406444871856,O = organoid,Intact,O8
13,0.9280927845779087,O = organoid,Intact,O1
14,0.9860746186616638,O = organoid,Intact,O6
15,0.9932408324402073,O = organoid,Intact,O8
16,0.943594483129331,O = organoid,Intact,O3
17,0.983443144591372,O = organoid,Intact,O6
18,0.986847657227868,O = organoid,Intact,O6
19,0.9934254909381834,O = organoid,Intact,O8
20,0.9709705102673868,O = organoid,Intact,O2
21,0.9888795552200162,O = organoid,Intact,O6
22,0.9883970324147353,O = organoid,Intact,O6
23,0.9723361748615924,O = organoid,Intact,O6
24,0.9932829496806546,O = organoid,Intact,O7
25,0.9580933673288692,O = organoid,Intact,O2
26,0.9576997331152238,O = organoid,Intact,O2
27,0.9217178481252714,O = organoid,Intact,O2
28,0.9688060593282208,O = organoid,Intact,O2
29,0.9326889808651534,O = organoid,Intact,O3
30,0.9456415363388813,O = organoid,Intact,O2
31,0.9203777589141604,O = organoid,Intact,O1
32,0.9881735568945095,O = organoid,Intact,O6
33,0.9928792465348422,O = organoid,Intact,O8
34,0.9657012189857926,O = organoid,Intact,O4
35,0.9934105145537601,O = organoid,Intact,O8
36,0.9917102342888161,O = organoid,Intact,O5
37,0.9547162468311096,O = organoid,Intact,O2
38,0.9341370432529079,O = organoid,Intact,O1
39,0.9523510978615809,O = organoid,Intact,O2
40,0.9656527826254925,O = organoid,Intact,O7
41,0.9683862007391685,O = organoid,Intact,O4
42,0.9868301514625927,O = organoid,Intact,O7
43,0.993674870564104,O = organoid,Intact,O8
44,0.9159026214847777,O = organoid,Intact,O3
45,0.992324190359532,O = organoid,Intact,O5
46,0.9406821748549232,O = organoid,Intact,O1
47,0.9822835581427855,O = organoid,Intact,O6
48,0.9377641091327823,O = organoid,Intact,O3
49,0.953222661066288,O = organoid,Intact,O7
50,0.9922160463478802,O = organoid,Intact,O5
51,0.9388626178179541,O = organoid,Intact,O3
52,0.9026206732737025,O = organoid,Intact,O1
53,0.9440816309457524,O = organoid,Intact,O7
54,0.9217978713238525,O = organoid,Intact,O2
55,0.942071524740188,O = organoid,Intact,O4
56,0.9332396682149535,O = organoid,Intact,O1
57,0.9383459219403113,O = organoid,Intact,O1
58,0.9235752378246042,O = organoid,Intact,O1
59,0.7572161259149132,O = organoid,Intact,O1
60,0.9113177104907018,O = organoid,Intact,O3
61,0.9692138997862039,O = organoid,Intact,O4
62,0.9939182648535289,O = organoid,Intact,O8
63,0.9939472972437164,O = organoid,Intact,O8
64,0.8820832704712616,O = organoid,Intact,O4
65,0.927487052336986,O = organoid,Intact,O1
66,0.9122725896633961,O = organoid,Intact,O2
67,0.9892025993155293,O = organoid,Intact,O6
68,0.844097730208222,O = organoid,Intact,O2
69,0.9376664308594606,O = organoid,Intact,O1
70,0.9938049122343765,O = organoid,Intact,O8
71,0.9627810244476408,O = organoid,Intact,O2
72,0.9497102090417802,O = organoid,Intact,O4
73,0.9892025993155293,O = organoid,Intact,O6
74,0.9930954122324844,O = organoid,Intact,O8
75,0.9549078804881873,O = organoid,Intact,O7
76,0.9907004112493379,O = organoid,Intact,O5
77,0.994579932138736,O = organoid,Intact,O8
78,0.9513414362806683,O = organoid,Intact,O7
79,0.9393603511315053,O = organoid,Intact,O3
80,0.9361552759863391,O = organoid,Intact,O1
81,0.9110512786254844,O = organoid,Intact,O3
82,0.9480495984248009,O = organoid,Intact,O2
83,0.9734776514856647,O = organoid,Intact,O7
84,0.9935075213190763,O = organoid,Intact,O8
85,0.994994123521566,O = organoid,Intact,O8
86,0.9090856050242868,O = organoid,Intact,O3
87,0.9577843244726423,O = organoid,Intact,O4
88,0.9511734555139433,O = organoid,Intact,O7
89,0.9940785008942072,O = organoid,Intact,O8
90,0.9090958417103159,O = organoid,Intact,O3
91,0.9935214396125323,O = organoid,Intact,O7
92,0.992012409678768,O = organoid,Intact,O5
93,0.9921972252581708,O = organoid,Intact,O5
94,0.9832455567926621,O = organoid,Intact,O7
95,0.9474731905957166,O = organoid,Intact,O3
96,0.9823394674690099,O = organoid,Intact,O6
97,0.9296425960888555,O = organoid,Intact,O3
98,0.9867178853620524,O = organoid,Intact,O6
99,0.946528893446659,O = organoid,Intact,O7
100,0.9487232220454044,O = organoid,Intact,O2
101,0.9603593062917455,O = organoid,Intact,O2
102,0.9658950284807171,O = organoid,Intact,O2
103,0.9924060614765176,O = organoid,Intact,O5
104,0.9605493582305714,O = organoid,Intact,O4
105,0.9597782466463376,O = organoid,Intact,O7
106,0.9945445891010646,O = organoid,Intact,O8
107,0.9924081504010053,O = organoid,Intact,O5
108,0.9341251503234094,O = organoid,Intact,O1
109,0.9916146325891253,O = organoid,Intact,O7
110,0.9610975965253165,O = organoid,Intact,O4
111,0.9462040379543388,O = organoid,Intact,O2
112,0.9526067304126128,O = organoid,Intact,O7
113,0.9470486197464092,O = organoid,Intact,O2
114,0.9367103159057976,O = organoid,Intact,O1
115,0.9514762636209384,O = organoid,Intact,O2
116,0.9139588133598711,O = organoid,Intact,O3
117,0.99080079988236,O = organoid,Intact,O5
118,0.9842668001883451,O = organoid,Intact,O6
119,0.9620596654444327,O = organoid,Intact,O4
120,0.9523004654797764,O = organoid,Intact,O2
121,0.9466160068379629,O = organoid,Intact,O4
122,0.9336941068943009,O = organoid,Intact,O3
123,0.9414213291558942,O = organoid,Intact,O3
124,0.9648498688227825,O = organoid,Intact,O4
125,0.9914793299701198,O = organoid,Intact,O5
126,0.9545648751407365,O = organoid,Intact,O4
127,0.9692997204459889,O = organoid,Intact,O2
128,0.9865555149306016,O = organoid,Intact,O6
129,0.9641124076894488,O = organoid,Intact,O4
130,0.9452875136482402,O = organoid,Intact,O4
131,0.8964244174152634,O = organoid,Intact,O4
132,0.9940632868999838,O = organoid,Intact,O8
133,0.9918861063828178,O = organoid,Intact,O5
134,0.9871504567739503,O = organoid,Intact,O7
135,0.9235772539413071,O = organoid,Intact,O1
136,0.9409474698845888,O = organoid,Intact,O1
137,0.9926830892952775,O = organoid,Intact,O8
138,0.92427017675982,O = organoid,Intact,O7
139,0.9668890516330768,O = organoid,Intact,O4
140,0.9939954037978399,O = organoid,Intact,O8
141,0.9451467802114301,O = organoid,Intact,O2
142,0.9528280450904753,O = organoid,Intact,O7
143,0.9461010722103083,O = organoid,Intact,O2
144,0.9783245028450451,O = organoid,Intact,O6
145,0.9334787914682657,O = organoid,Intact,O3
146,0.9879705613575673,O = organoid,Intact,O7
147,0.9479331562012681,O = organoid,Intact,O3
148,0.9295251527150478,O = organoid,Intact,O3
149,0.9500839208986777,O = organoid,Intact,O2
150,0.5262526800319567,O = organoid,Intact,O8
151,0.9904262635485268,O = organoid,Intact,O8
152,0.9914315676173204,O = organoid,Intact,O5
153,0.925654849527117,O = organoid,Intact,O1
154,0.9409633144959766,O = organoid,Intact,O3
155,0.9940013106602069,O = organoid,Intact,O8
156,0.9817971368845526,O = organoid,Intact,O5
157,0.9916212912335287,O = organoid,Intact,O5
158,0.9915767665556731,O = organoid,Intact,O5
159,0.9863866488869424,O = organoid,Intact,O6
160,0.9849066778025503,O = organoid,Intact,O6
